Id,SalePrice
1461,149860.08
1462,135233.17
1463,181652.94
1464,182258.31
1465,181274.39
1466,165453.36
1467,172646.39
1468,165533.05
1469,179038.69
1470,129859.15
1471,224496.92
1472,109663.484
1473,109954.57
1474,145371.38
1475,128101.32
1476,373748.88
1477,233698.23
1478,303486.78
1479,276094.0
1480,459248.38
1481,309596.7
1482,197323.34
1483,168228.16
1484,171046.78
1485,173066.28
1486,195847.92
1487,324188.5
1488,216747.0
1489,192887.0
1490,250041.8
1491,203406.64
1492,92412.73
1493,180833.12
1494,274130.38
1495,269813.88
1496,264160.84
1497,176806.9
1498,168940.12
1499,161751.64
1500,169086.95
1501,203222.44
1502,163771.39
1503,301450.75
1504,248656.56
1505,233430.9
1506,202435.11
1507,243497.28
1508,211466.0
1509,157707.9
1510,155296.16
1511,151108.22
1512,195604.9
1513,145096.4
1514,154006.05
1515,194665.97
1516,153757.9
1517,168892.86
1518,134647.42
1519,221857.66
1520,131717.44
1521,135599.81
1522,183799.81
1523,114663.914
1524,125526.15
1525,123829.6
1526,121934.89
1527,126380.43
1528,125200.61
1529,135990.94
1530,203596.17
1531,123310.055
1532,105494.055
1533,157214.19
1534,124074.375
1535,140518.23
1536,107690.766
1537,62354.07
1538,160119.1
1539,187079.73
1540,107001.87
1541,132236.52
1542,129333.664
1543,180405.27
1544,90233.66
1545,114258.86
1546,140437.42
1547,136468.5
1548,131107.16
1549,127383.56
1550,137338.23
1551,117556.05
1552,134812.48
1553,126666.18
1554,123620.81
1555,166794.55
1556,89283.25
1557,99931.19
1558,113805.26
1559,114956.12
1560,159047.31
1561,140377.1
1562,138232.66
1563,121801.305
1564,162862.53
1565,142266.89
1566,218110.6
1567,86724.28
1568,255233.05
1569,131279.94
1570,144096.94
1571,122545.555
1572,142872.47
1573,217375.92
1574,145302.84
1575,251529.27
1576,271887.47
1577,175660.38
1578,144572.81
1579,125706.36
1580,193949.36
1581,132471.42
1582,127628.414
1583,296895.4
1584,245011.88
1585,146278.4
1586,77867.64
1587,115302.85
1588,147652.08
1589,109237.41
